Experiment,Student,Date.start,Date.end,Location,Structure,Fouling,Cup.weigth.empty.g,Total.weight.wet.g,Total.weight.dry.g,Difference.g,Comments
Spatial variation,Emilia Rizzi,,,Pilli Pipa,3,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,3,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,3,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,3,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,3,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,3,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,3,Turf,3.5,,7.5,4,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,4,Barnacles,3.5,,15.4,11.9,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,4,Brown algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,4,CCA,3.4,,4.8,1.4,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,4,Cyanobacteria,3.1,,3.2,0.1,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,4,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,4,Mussels,3.3,,3.4,0.1,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,4,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,4,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,4,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,4,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,4,Turf,3.3,,4.9,1.6,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,5,Barnacles,3.3,,7.5,4.2,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,5,Brown algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,5,CCA,3.2,,5.5,2.3,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,5,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,5,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,5,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,5,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,5,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,5,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,5,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,5,Turf,3.4,,12,8.6,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,6,Barnacles,3.1,,4.3,1.2,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,6,Brown algae,3.3,,3.6,0.3,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,6,CCA,3.1,,6.6,3.5,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,6,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,6,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,6,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,6,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,6,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,6,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,6,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,6,Turf,3,,11.8,8.8,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,7,Barnacles,3.2,,6.1,2.9,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,7,Brown algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,7,CCA,3.3,,5.4,2.1,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,7,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,7,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,7,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,7,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,7,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,7,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,7,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,7,Turf,3.4,,9.7,6.3,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,8,Barnacles,3.1,,9.7,6.6,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,8,Brown algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,8,CCA,3.6,,6,2.4,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,8,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,8,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,8,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,8,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,8,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,8,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,8,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Pilli Pipa,8,Turf,3.2,,6.8,3.6,
Spatial variation,Emilia Rizzi,,,Firefly,1,Barnacles,3.3,,7.3,4,
Spatial variation,Emilia Rizzi,,,Firefly,1,Brown algae,5.5,,5.9,0.4,
Spatial variation,Emilia Rizzi,,,Firefly,1,CCA,5.3,,5.9,0.6,
Spatial variation,Emilia Rizzi,,,Firefly,1,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,1,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,1,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,1,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,1,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,1,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,1,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,1,Turf,5.4,,18.6,13.2,
Spatial variation,Emilia Rizzi,,,Firefly,2,Barnacles,3.3,,24.9,21.6,
Spatial variation,Emilia Rizzi,,,Firefly,2,Brown algae,11,,31.6,20.6,
Spatial variation,Emilia Rizzi,,,Firefly,2,CCA,3.1,,7,3.9,
Spatial variation,Emilia Rizzi,,,Firefly,2,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,2,Green algae,6.5,,6.6,0.1,Negative value changed to mimum positive: +0.1
Spatial variation,Emilia Rizzi,,,Firefly,2,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,2,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,2,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,2,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,2,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,2,Turf,3.1,,6.8,3.7,
Spatial variation,Emilia Rizzi,,,Firefly,3,Barnacles,3.2,,6.5,3.3,
Spatial variation,Emilia Rizzi,,,Firefly,3,Brown algae,10.1,,24.3,14.2,
Spatial variation,Emilia Rizzi,,,Firefly,3,CCA,3.3,,7.1,3.8,
Spatial variation,Emilia Rizzi,,,Firefly,3,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,3,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,3,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,3,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,3,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,3,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,3,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,3,Turf,3.3,,15,11.7,
Spatial variation,Emilia Rizzi,,,Firefly,4,Barnacles,3.3,,6.1,2.8,
Spatial variation,Emilia Rizzi,,,Firefly,4,Brown algae,3.6,,5.9,2.3,
Spatial variation,Emilia Rizzi,,,Firefly,4,CCA,3.1,,5.6,2.5,
Spatial variation,Emilia Rizzi,,,Firefly,4,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,4,Green algae,3.1,,4.3,1.2,
Spatial variation,Emilia Rizzi,,,Firefly,4,Mussels,3,,3.6,0.6,
Spatial variation,Emilia Rizzi,,,Firefly,4,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,4,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,4,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,4,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,4,Turf,3.1,,17.6,14.5,
Spatial variation,Emilia Rizzi,,,Firefly,5,Barnacles,3,,35.5,32.5,
Spatial variation,Emilia Rizzi,,,Firefly,5,Brown algae,10.9,,43.5,32.6,
Spatial variation,Emilia Rizzi,,,Firefly,5,CCA,3.2,,5.5,2.3,
Spatial variation,Emilia Rizzi,,,Firefly,5,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,5,Green algae,3.2,,3.4,0.2,
Spatial variation,Emilia Rizzi,,,Firefly,5,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,5,Other,3.2,,4.3,1.1,
Spatial variation,Emilia Rizzi,,,Firefly,5,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,5,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,5,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,5,Turf,3,,10.6,7.6,
Spatial variation,Emilia Rizzi,,,Firefly,6,Barnacles,3.5,,19.3,15.8,
Spatial variation,Emilia Rizzi,,,Firefly,6,Brown algae,10.6,,24,13.4,
Spatial variation,Emilia Rizzi,,,Firefly,6,CCA,3.2,,4.2,1,
Spatial variation,Emilia Rizzi,,,Firefly,6,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,6,Green algae,3,,3.1,0.1,
Spatial variation,Emilia Rizzi,,,Firefly,6,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,6,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,6,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,6,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,6,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,6,Turf,3.6,,11,7.4,
Spatial variation,Emilia Rizzi,,,Firefly,7,Barnacles,3.4,,37.6,34.2,
Spatial variation,Emilia Rizzi,,,Firefly,7,Brown algae,22.2,,68.4,46.2,
Spatial variation,Emilia Rizzi,,,Firefly,7,CCA,3.2,,4.8,1.6,
Spatial variation,Emilia Rizzi,,,Firefly,7,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,7,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,7,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,7,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,7,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,7,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,7,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,7,Turf,3.5,,7.2,3.7,
Spatial variation,Emilia Rizzi,,,Firefly,8,Barnacles,6.5,,38.3,31.8,
Spatial variation,Emilia Rizzi,,,Firefly,8,Brown algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,8,CCA,6.3,,7.1,0.8,
Spatial variation,Emilia Rizzi,,,Firefly,8,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,8,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,8,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,8,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,8,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,8,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,8,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Firefly,8,Turf,6.3,,18.4,12.1,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,1,Barnacles,3.1,,4.2,1.1,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,1,Brown algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,1,CCA,3.1,,9.1,6,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,1,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,1,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,1,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,1,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,1,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,1,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,1,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,1,Turf,3.4,,3.6,0.2,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,2,Barnacles,3.3,,3.5,0.2,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,2,Brown algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,2,CCA,3.1,,8.7,5.6,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,2,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,2,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,2,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,2,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,2,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,2,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,2,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,2,Turf,3.3,,3.4,0.1,Zero value changed to mimum positive: +0.1
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,3,Barnacles,3.3,,4.5,1.2,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,3,Brown algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,3,CCA,3.4,,5.7,2.3,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,3,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,3,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,3,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,3,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,3,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,3,Sponges,3.2,,3.4,0.2,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,3,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,3,Turf,3.2,,11.1,7.9,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,4,Barnacles,3.2,,4.3,1.1,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,4,Brown algae,3.3,,3.4,0.1,Zero value changed to mimum positive: +0.1
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,4,CCA,3.4,,9.2,5.8,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,4,Cyanobacteria,3.3,,3.4,0.1,Zero value changed to mimum positive: +0.1
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,4,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,4,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,4,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,4,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,4,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,4,Tunicates,3.2,,3.3,0.1,Negative value changed to mimum positive: +0.1
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,4,Turf,3.3,,6.6,3.3,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,5,Barnacles,3.1,,6,2.9,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,5,Brown algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,5,CCA,2.1,,10.1,8,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,5,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,5,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,5,Mussels,2,,2.3,0.3,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,5,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,5,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,5,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,5,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,5,Turf,1.8,,2.2,0.4,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,6,Barnacles,1.9,,2.2,0.3,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,6,Brown algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,6,CCA,2,,7.8,5.8,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,6,Cyanobacteria,2,,2.1,0.1,Zero value changed to mimum positive: +0.1
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,6,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,6,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,6,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,6,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,6,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,6,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,6,Turf,1.9,,3.1,1.2,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,7,Barnacles,1.9,,2.1,0.2,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,7,Brown algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,7,CCA,1.9,,5.6,3.7,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,7,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,7,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,7,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,7,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,7,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,7,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,7,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,7,Turf,1.8,,2.7,0.9,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,8,Barnacles,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,8,Brown algae,6.4,,6.5,0.1,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,8,CCA,6.2,,15,8.8,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,8,Cyanobacteria,6.5,,6.9,0.4,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,8,Green algae,6.5,,6.6,0.1,Negative value changed to mimum positive: +0.1
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,8,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,8,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,8,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,8,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,8,Tunicates,2,,2.3,0.3,
Spatial variation,Emilia Rizzi,,,Lower Mpunguti,8,Turf,6.3,,6.6,0.3,
Spatial variation,Emilia Rizzi,,,Dolphin Point,1,Barnacles,6.5,,7,0.5,
Spatial variation,Emilia Rizzi,,,Dolphin Point,1,Brown algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Dolphin Point,1,CCA,6.7,,17.4,10.7,
Spatial variation,Emilia Rizzi,,,Dolphin Point,1,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Dolphin Point,1,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Dolphin Point,1,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Dolphin Point,1,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Dolphin Point,1,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Dolphin Point,1,Sponges,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Dolphin Point,1,Tunicates,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Dolphin Point,1,Turf,6.4,,7,0.6,
Spatial variation,Emilia Rizzi,,,Dolphin Point,2,Barnacles,6,,6.7,0.7,
Spatial variation,Emilia Rizzi,,,Dolphin Point,2,Brown algae,5.7,,5.8,0.1,
Spatial variation,Emilia Rizzi,,,Dolphin Point,2,CCA,5.4,,11.6,6.2,
Spatial variation,Emilia Rizzi,,,Dolphin Point,2,Cyanobacteria,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Dolphin Point,2,Green algae,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Dolphin Point,2,Mussels,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Dolphin Point,2,Other,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Dolphin Point,2,Soft Coral,#N/A,,#N/A,0,
Spatial variation,Emilia Rizzi,,,Dolphin Point,2,Sponges,#N/A,,#N/A,0,
